[train-e-103/150] [train_acc-0.9957 train_loss-2.0366] [20666/20756] 
[val-e-103/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-104/150] [train_acc-0.9960 train_loss-0.6477] [20672/20756] 
[val-e-104/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-105/150] [train_acc-0.9945 train_loss-0.5667] [20641/20756] 
[val-e-105/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-106/150] [train_acc-0.9958 train_loss-0.2974] [20668/20756] 
[val-e-106/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-107/150] [train_acc-0.9955 train_loss-0.5466] [20663/20756] 
[val-e-107/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-108/150] [train_acc-0.9959 train_loss-0.6714] [20671/20756] 
[val-e-108/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-109/150] [train_acc-0.9960 train_loss-0.5319] [20672/20756] 
[val-e-109/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-110/150] [train_acc-0.9951 train_loss-0.7904] [20655/20756] 
[val-e-110/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-111/150] [train_acc-0.9958 train_loss-0.1617] [20669/20756] 
[val-e-111/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-112/150] [train_acc-0.9958 train_loss-0.3557] [20669/20756] 
[val-e-112/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-113/150] [train_acc-0.9959 train_loss-0.5914] [20671/20756] 
[val-e-113/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-114/150] [train_acc-0.9954 train_loss-0.5681] [20660/20756] 
[val-e-114/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-115/150] [train_acc-0.9955 train_loss-1.1642] [20663/20756] 
[val-e-115/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-116/150] [train_acc-0.9958 train_loss-0.2873] [20669/20756] 
[val-e-116/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-117/150] [train_acc-0.9952 train_loss-0.8233] [20656/20756] 
[val-e-117/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-118/150] [train_acc-0.9954 train_loss-0.7723] [20660/20756] 
[val-e-118/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-119/150] [train_acc-0.9961 train_loss-0.8945] [20675/20756] 
[val-e-119/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-120/150] [train_acc-0.9962 train_loss-0.3971] [20678/20756] 
[val-e-120/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-121/150] [train_acc-0.9965 train_loss-0.5422] [20684/20756] 
[val-e-121/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-122/150] [train_acc-0.9963 train_loss-0.2861] [20680/20756] 
[val-e-122/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-123/150] [train_acc-0.9951 train_loss-0.3083] [20654/20756] 
[val-e-123/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-124/150] [train_acc-0.9952 train_loss-0.3757] [20656/20756] 
[val-e-124/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-125/150] [train_acc-0.9960 train_loss-0.5771] [20673/20756] 
[val-e-125/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-126/150] [train_acc-0.9957 train_loss-0.3995] [20666/20756] 
[val-e-126/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-127/150] [train_acc-0.9966 train_loss-0.1600] [20685/20756] 
[val-e-127/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-128/150] [train_acc-0.9963 train_loss-0.1877] [20680/20756] 
[val-e-128/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-129/150] [train_acc-0.9959 train_loss-0.5645] [20671/20756] 
[val-e-129/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-130/150] [train_acc-0.9955 train_loss-0.6103] [20662/20756] 
[val-e-130/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-131/150] [train_acc-0.9962 train_loss-0.3303] [20678/20756] 
[val-e-131/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-132/150] [train_acc-0.9956 train_loss-0.1927] [20664/20756] 
[val-e-132/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-133/150] [train_acc-0.9955 train_loss-0.6038] [20662/20756] 
[val-e-133/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-134/150] [train_acc-0.9957 train_loss-1.8250] [20667/20756] 
[val-e-134/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-135/150] [train_acc-0.9961 train_loss-0.7546] [20675/20756] 
[val-e-135/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-136/150] [train_acc-0.9960 train_loss-0.4779] [20672/20756] 
[val-e-136/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-137/150] [train_acc-0.9963 train_loss-0.4522] [20680/20756] 
[val-e-137/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-138/150] [train_acc-0.9962 train_loss-0.4866] [20678/20756] 
[val-e-138/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
[train-e-139/150] [train_acc-0.9957 train_loss-0.2567] [20666/20756] 
[val-e-139/150] [val_acc-0.6675 val_loss-1.4940] [4582/6864]
