[val-90/1000] [acc-0.8616, loss-0.0482] [1264/1467]
[train-91/1000] [acc-0.9984, loss-0.0004] [4435/4442]
[val-91/1000] [acc-0.8514, loss-0.0485] [1249/1467]
[train-92/1000] [acc-0.9982, loss-0.0004] [4434/4442]
[val-92/1000] [acc-0.8514, loss-0.0475] [1249/1467]
[train-93/1000] [acc-0.9975, loss-0.0005] [4431/4442]
[val-93/1000] [acc-0.8507, loss-0.0471] [1248/1467]
[train-94/1000] [acc-0.9984, loss-0.0004] [4435/4442]
[val-94/1000] [acc-0.8616, loss-0.0482] [1264/1467]
[train-95/1000] [acc-0.9984, loss-0.0004] [4435/4442]
[val-95/1000] [acc-0.8521, loss-0.0474] [1250/1467]
[train-96/1000] [acc-0.9989, loss-0.0003] [4437/4442]
[val-96/1000] [acc-0.8589, loss-0.0475] [1260/1467]
[train-97/1000] [acc-0.9968, loss-0.0005] [4428/4442]
[val-97/1000] [acc-0.8555, loss-0.0498] [1255/1467]
[train-98/1000] [acc-0.9984, loss-0.0004] [4435/4442]
[val-98/1000] [acc-0.8575, loss-0.0484] [1258/1467]
[train-99/1000] [acc-0.9989, loss-0.0003] [4437/4442]
[val-99/1000] [acc-0.8623, loss-0.0463] [1265/1467]
[train-100/1000] [acc-0.9975, loss-0.0005] [4431/4442]
[val-100/1000] [acc-0.8575, loss-0.0461] [1258/1467]
[train-101/1000] [acc-0.9982, loss-0.0004] [4434/4442]
[val-101/1000] [acc-0.8616, loss-0.0485] [1264/1467]
[train-102/1000] [acc-0.9993, loss-0.0003] [4439/4442]
[val-102/1000] [acc-0.8528, loss-0.0478] [1251/1467]
[train-103/1000] [acc-0.9977, loss-0.0005] [4432/4442]
[val-103/1000] [acc-0.8439, loss-0.0480] [1238/1467]
[train-104/1000] [acc-0.9984, loss-0.0003] [4435/4442]
[val-104/1000] [acc-0.8541, loss-0.0465] [1253/1467]
[train-105/1000] [acc-0.9975, loss-0.0005] [4431/4442]
[val-105/1000] [acc-0.8514, loss-0.0460] [1249/1467]
[train-106/1000] [acc-0.9986, loss-0.0004] [4436/4442]
[val-106/1000] [acc-0.8466, loss-0.0488] [1242/1467]
[train-107/1000] [acc-0.9986, loss-0.0004] [4436/4442]
[val-107/1000] [acc-0.8459, loss-0.0496] [1241/1467]
[train-108/1000] [acc-0.9993, loss-0.0002] [4439/4442]
[val-108/1000] [acc-0.8528, loss-0.0501] [1251/1467]
[train-109/1000] [acc-0.9975, loss-0.0005] [4431/4442]
[val-109/1000] [acc-0.8582, loss-0.0470] [1259/1467]
[train-110/1000] [acc-0.9977, loss-0.0005] [4432/4442]
[val-110/1000] [acc-0.8582, loss-0.0476] [1259/1467]
[train-111/1000] [acc-0.9984, loss-0.0004] [4435/4442]
[val-111/1000] [acc-0.8521, loss-0.0452] [1250/1467]
[train-112/1000] [acc-0.9989, loss-0.0004] [4437/4442]
[val-112/1000] [acc-0.8521, loss-0.0463] [1250/1467]
[train-113/1000] [acc-0.9989, loss-0.0003] [4437/4442]
[val-113/1000] [acc-0.8609, loss-0.0473] [1263/1467]
[train-114/1000] [acc-0.9980, loss-0.0004] [4433/4442]
[val-114/1000] [acc-0.8548, loss-0.0473] [1254/1467]
[train-115/1000] [acc-0.9995, loss-0.0003] [4440/4442]
[val-115/1000] [acc-0.8562, loss-0.0484] [1256/1467]
[train-116/1000] [acc-0.9984, loss-0.0004] [4435/4442]
[val-116/1000] [acc-0.8534, loss-0.0484] [1252/1467]
[train-117/1000] [acc-0.9982, loss-0.0004] [4434/4442]
[val-117/1000] [acc-0.8555, loss-0.0484] [1255/1467]
[train-118/1000] [acc-0.9977, loss-0.0004] [4432/4442]
[val-118/1000] [acc-0.8603, loss-0.0456] [1262/1467]
[train-119/1000] [acc-0.9986, loss-0.0004] [4436/4442]
[val-119/1000] [acc-0.8534, loss-0.0462] [1252/1467]
[train-120/1000] [acc-0.9993, loss-0.0002] [4439/4442]
[val-120/1000] [acc-0.8548, loss-0.0495] [1254/1467]
[train-121/1000] [acc-0.9982, loss-0.0004] [4434/4442]
[val-121/1000] [acc-0.8575, loss-0.0450] [1258/1467]
[train-122/1000] [acc-0.9977, loss-0.0005] [4432/4442]
[val-122/1000] [acc-0.8466, loss-0.0491] [1242/1467]
[train-123/1000] [acc-0.9984, loss-0.0004] [4435/4442]
[val-123/1000] [acc-0.8487, loss-0.0462] [1245/1467]
[train-124/1000] [acc-0.9984, loss-0.0003] [4435/4442]
[val-124/1000] [acc-0.8562, loss-0.0479] [1256/1467]
[train-125/1000] [acc-0.9991, loss-0.0004] [4438/4442]
[val-125/1000] [acc-0.8582, loss-0.0456] [1259/1467]
[train-126/1000] [acc-0.9986, loss-0.0003] [4436/4442]
[val-126/1000] [acc-0.8623, loss-0.0462] [1265/1467]
[train-127/1000] [acc-0.9975, loss-0.0005] [4431/4442]
[val-127/1000] [acc-0.8562, loss-0.0474] [1256/1467]
[train-128/1000] [acc-0.9975, loss-0.0003] [4431/4442]
[val-128/1000] [acc-0.8500, loss-0.0472] [1247/1467]
[train-129/1000] [acc-0.9986, loss-0.0003] [4436/4442]
[val-129/1000] [acc-0.8528, loss-0.0479] [1251/1467]
[train-130/1000] [acc-0.9989, loss-0.0003] [4437/4442]
[val-130/1000] [acc-0.8603, loss-0.0455] [1262/1467]
[train-131/1000] [acc-0.9993, loss-0.0003] [4439/4442]
[val-131/1000] [acc-0.8500, loss-0.0476] [1247/1467]
[train-132/1000] [acc-0.9980, loss-0.0004] [4433/4442]
[val-132/1000] [acc-0.8609, loss-0.0448] [1263/1467]
[train-133/1000] [acc-0.9980, loss-0.0004] [4433/4442]
[val-133/1000] [acc-0.8514, loss-0.0489] [1249/1467]
[train-134/1000] [acc-0.9980, loss-0.0004] [4433/4442]
[val-134/1000] [acc-0.8514, loss-0.0487] [1249/1467]
[train-135/1000] [acc-0.9991, loss-0.0003] [4438/4442]
[val-135/1000] [acc-0.8534, loss-0.0459] [1252/1467]
[train-136/1000] [acc-0.9991, loss-0.0004] [4438/4442]
[val-136/1000] [acc-0.8643, loss-0.0455] [1268/1467]
[train-137/1000] [acc-0.9989, loss-0.0004] [4437/4442]
[val-137/1000] [acc-0.8541, loss-0.0454] [1253/1467]
[train-138/1000] [acc-0.9989, loss-0.0003] [4437/4442]
[val-138/1000] [acc-0.8507, loss-0.0477] [1248/1467]
[train-139/1000] [acc-0.9980, loss-0.0004] [4433/4442]
[val-139/1000] [acc-0.8548, loss-0.0443] [1254/1467]
[train-140/1000] [acc-0.9984, loss-0.0004] [4435/4442]
[val-140/1000] [acc-0.8494, loss-0.0470] [1246/1467]
[train-141/1000] [acc-0.9986, loss-0.0004] [4436/4442]
[val-141/1000] [acc-0.8562, loss-0.0483] [1256/1467]
[train-142/1000] [acc-0.9980, loss-0.0005] [4433/4442]
[val-142/1000] [acc-0.8569, loss-0.0465] [1257/1467]
[train-143/1000] [acc-0.9975, loss-0.0005] [4431/4442]
[val-143/1000] [acc-0.8582, loss-0.0452] [1259/1467]
[train-144/1000] [acc-0.9975, loss-0.0005] [4431/4442]
[val-144/1000] [acc-0.8534, loss-0.0489] [1252/1467]
[train-145/1000] [acc-0.9980, loss-0.0005] [4433/4442]
[val-145/1000] [acc-0.8521, loss-0.0481] [1250/1467]
[train-146/1000] [acc-0.9975, loss-0.0005] [4431/4442]
[val-146/1000] [acc-0.8494, loss-0.0485] [1246/1467]
[train-147/1000] [acc-0.9982, loss-0.0004] [4434/4442]
[val-147/1000] [acc-0.8534, loss-0.0467] [1252/1467]
[train-148/1000] [acc-0.9991, loss-0.0003] [4438/4442]
[val-148/1000] [acc-0.8439, loss-0.0467] [1238/1467]
[train-149/1000] [acc-0.9977, loss-0.0004] [4432/4442]
[val-149/1000] [acc-0.8609, loss-0.0469] [1263/1467]
[train-150/1000] [acc-0.9991, loss-0.0003] [4438/4442]
[val-150/1000] [acc-0.8562, loss-0.0475] [1256/1467]
[train-151/1000] [acc-0.9977, loss-0.0005] [4432/4442]
[val-151/1000] [acc-0.8500, loss-0.0454] [1247/1467]
[train-152/1000] [acc-0.9993, loss-0.0003] [4439/4442]
[val-152/1000] [acc-0.8582, loss-0.0474] [1259/1467]
[train-153/1000] [acc-0.9980, loss-0.0004] [4433/4442]
[val-153/1000] [acc-0.8643, loss-0.0472] [1268/1467]
[train-154/1000] [acc-0.9991, loss-0.0004] [4438/4442]
[val-154/1000] [acc-0.8575, loss-0.0470] [1258/1467]
