[train-48/150] [acc-0.4667, loss-0.0495] [cor/total-588/1260]
[v:rgb_acc-0.4381, flow_acc-0.3667]
[val-48/150] [acc-0.4738, loss-0.0530] [cor/total-199/420]
[rgb_acc-0.3976, flow_acc-0.3849]
[train-49/150] [acc-0.4683, loss-0.0496] [cor/total-590/1260]
[v:rgb_acc-0.4214, flow_acc-0.3833]
[val-49/150] [acc-0.4738, loss-0.0525] [cor/total-199/420]
[rgb_acc-0.3603, flow_acc-0.3976]
[train-50/150] [acc-0.4262, loss-0.0503] [cor/total-537/1260]
[v:rgb_acc-0.4238, flow_acc-0.3667]
[val-50/150] [acc-0.4714, loss-0.0525] [cor/total-198/420]
[rgb_acc-0.3873, flow_acc-0.3746]
[train-51/150] [acc-0.4484, loss-0.0498] [cor/total-565/1260]
[v:rgb_acc-0.4071, flow_acc-0.3810]
[val-51/150] [acc-0.4905, loss-0.0525] [cor/total-206/420]
[rgb_acc-0.3968, flow_acc-0.3944]
[train-52/150] [acc-0.4540, loss-0.0497] [cor/total-572/1260]
[v:rgb_acc-0.4214, flow_acc-0.3714]
[val-52/150] [acc-0.4929, loss-0.0527] [cor/total-207/420]
[rgb_acc-0.4087, flow_acc-0.3937]
[train-53/150] [acc-0.4817, loss-0.0489] [cor/total-607/1260]
[v:rgb_acc-0.4310, flow_acc-0.3643]
[val-53/150] [acc-0.4738, loss-0.0529] [cor/total-199/420]
