[train-92/1000] [acc-0.9998, loss-0.0001] [4441/4442]
[val-92/1000] [acc-0.8371, loss-0.0516] [1228/1467]
[train-93/1000] [acc-0.9989, loss-0.0003] [4437/4442]
[val-93/1000] [acc-0.8371, loss-0.0521] [1228/1467]
[train-94/1000] [acc-0.9991, loss-0.0002] [4438/4442]
[val-94/1000] [acc-0.8432, loss-0.0529] [1237/1467]
[train-95/1000] [acc-0.9989, loss-0.0002] [4437/4442]
[val-95/1000] [acc-0.8371, loss-0.0528] [1228/1467]
[train-96/1000] [acc-0.9993, loss-0.0001] [4439/4442]
[val-96/1000] [acc-0.8350, loss-0.0522] [1225/1467]
[train-97/1000] [acc-0.9995, loss-0.0002] [4440/4442]
[val-97/1000] [acc-0.8473, loss-0.0523] [1243/1467]
[train-98/1000] [acc-0.9995, loss-0.0001] [4440/4442]
[val-98/1000] [acc-0.8391, loss-0.0538] [1231/1467]
[train-99/1000] [acc-0.9998, loss-0.0001] [4441/4442]
[val-99/1000] [acc-0.8357, loss-0.0546] [1226/1467]
[train-100/1000] [acc-0.9998, loss-0.0001] [4441/4442]
[val-100/1000] [acc-0.8357, loss-0.0522] [1226/1467]
[train-101/1000] [acc-0.9998, loss-0.0001] [4441/4442]
[val-101/1000] [acc-0.8398, loss-0.0516] [1232/1467]
[train-102/1000] [acc-0.9995, loss-0.0001] [4440/4442]
[val-102/1000] [acc-0.8330, loss-0.0517] [1222/1467]
[train-103/1000] [acc-0.9991, loss-0.0002] [4438/4442]
[val-103/1000] [acc-0.8378, loss-0.0532] [1229/1467]
[train-104/1000] [acc-0.9995, loss-0.0001] [4440/4442]
[val-104/1000] [acc-0.8391, loss-0.0520] [1231/1467]
[train-105/1000] [acc-0.9993, loss-0.0002] [4439/4442]
[val-105/1000] [acc-0.8412, loss-0.0520] [1234/1467]
[train-106/1000] [acc-0.9995, loss-0.0002] [4440/4442]
[val-106/1000] [acc-0.8378, loss-0.0523] [1229/1467]
[train-107/1000] [acc-0.9986, loss-0.0003] [4436/4442]
[val-107/1000] [acc-0.8350, loss-0.0532] [1225/1467]
[train-108/1000] [acc-1.0000, loss-0.0001] [4442/4442]
[val-108/1000] [acc-0.8405, loss-0.0525] [1233/1467]
[train-109/1000] [acc-0.9991, loss-0.0002] [4438/4442]
[val-109/1000] [acc-0.8391, loss-0.0513] [1231/1467]
[train-110/1000] [acc-0.9991, loss-0.0002] [4438/4442]
[val-110/1000] [acc-0.8289, loss-0.0533] [1216/1467]
[train-111/1000] [acc-0.9995, loss-0.0001] [4440/4442]
[val-111/1000] [acc-0.8282, loss-0.0570] [1215/1467]
[train-112/1000] [acc-0.9986, loss-0.0003] [4436/4442]
[val-112/1000] [acc-0.8309, loss-0.0540] [1219/1467]
[train-113/1000] [acc-0.9991, loss-0.0001] [4438/4442]
[val-113/1000] [acc-0.8303, loss-0.0560] [1218/1467]
[train-114/1000] [acc-0.9993, loss-0.0002] [4439/4442]
[val-114/1000] [acc-0.8289, loss-0.0533] [1216/1467]
[train-115/1000] [acc-0.9995, loss-0.0001] [4440/4442]
[val-115/1000] [acc-0.8337, loss-0.0550] [1223/1467]
[train-116/1000] [acc-0.9991, loss-0.0002] [4438/4442]
[val-116/1000] [acc-0.8419, loss-0.0551] [1235/1467]
[train-117/1000] [acc-0.9998, loss-0.0001] [4441/4442]
[val-117/1000] [acc-0.8303, loss-0.0551] [1218/1467]
[train-118/1000] [acc-0.9995, loss-0.0001] [4440/4442]
[val-118/1000] [acc-0.8350, loss-0.0543] [1225/1467]
[train-119/1000] [acc-0.9991, loss-0.0002] [4438/4442]
[val-119/1000] [acc-0.8357, loss-0.0526] [1226/1467]
[train-120/1000] [acc-0.9991, loss-0.0002] [4438/4442]
[val-120/1000] [acc-0.8316, loss-0.0528] [1220/1467]
[train-121/1000] [acc-0.9995, loss-0.0001] [4440/4442]
[val-121/1000] [acc-0.8269, loss-0.0575] [1213/1467]
[train-122/1000] [acc-0.9991, loss-0.0002] [4438/4442]
[val-122/1000] [acc-0.8371, loss-0.0510] [1228/1467]
[train-123/1000] [acc-0.9998, loss-0.0001] [4441/4442]
[val-123/1000] [acc-0.8337, loss-0.0554] [1223/1467]
[train-124/1000] [acc-0.9998, loss-0.0001] [4441/4442]
[val-124/1000] [acc-0.8364, loss-0.0541] [1227/1467]
[train-125/1000] [acc-1.0000, loss-0.0001] [4442/4442]
[val-125/1000] [acc-0.8330, loss-0.0533] [1222/1467]
[train-126/1000] [acc-0.9993, loss-0.0001] [4439/4442]
[val-126/1000] [acc-0.8391, loss-0.0526] [1231/1467]
[train-127/1000] [acc-0.9995, loss-0.0001] [4440/4442]
[val-127/1000] [acc-0.8357, loss-0.0486] [1226/1467]
